Index,Fitted Radius (m)
145,0.020750901670892927
146,0.020854736800762646
147,0.020958489732120097
148,0.02106216053003571
149,0.021165749259528372
150,0.021269255985565547
151,0.02137268077306322
152,0.021476023686886014
153,0.021579284791847196
154,0.021682464152708747
155,0.02178556183418133
156,0.021888577900924442
157,0.02199151241754635
158,0.022094365448604193
159,0.022197137058604002
160,0.02229982731200075
161,0.022402436273198365
162,0.02250496400654981
163,0.022607410576357116
164,0.02270977604687139
165,0.022812060482292874
166,0.022914263946770992
167,0.02301638650440439
168,0.02311842821924097
169,0.023220389155277944
170,0.02332226937646184
171,0.02342406894668857
172,0.02352578792980349
173,0.023627426389601365
174,0.02372898438982653
175,0.02383046199417277
176,0.02393185926628351
177,0.024033176269751787
178,0.024134413068120274
179,0.02423556972488137
180,0.02433664630347717
181,0.024437642867299603
182,0.02453855947969037
183,0.02463939620394103
184,0.024740153103293097
185,0.02484083024093793
186,0.024941427680016937
187,0.025041945483621496
188,0.025142383714793094
189,0.025242742436523247
190,0.025343021711753663
191,0.025443221603376177
192,0.025543342174232868
193,0.025643383487116065
194,0.02574334560476836
195,0.025843228589882736
196,0.025943032505102468
197,0.026042757413021318
198,0.02614240337618343
199,0.026241970457083506
200,0.0263414587181667
201,0.02644086822182879
202,0.026540199030416118
203,0.026639451206225736
204,0.026738624811505317
205,0.02683771990845325
206,0.026936736559218747
207,0.027035674825901787
208,0.027134534770553168
209,0.027233316455174628
210,0.027332019941718737
211,0.0274306452920891
212,0.02752919256814027
213,0.027627661831677856
214,0.027726053144458536
215,0.02782436656819012
216,0.0279226021645315
217,0.02802075999509285
218,0.028118840121435496
219,0.028216842605072075
220,0.0283147675074665
221,0.02841261489003407
222,0.02851038481414142
223,0.02860807734110662
224,0.028705692532199217
225,0.028803230448640242
226,0.02890069115160224
227,0.02899807470220938
228,0.029095381161537384
229,0.029192610590613684
230,0.029289763050417365
231,0.029386838601879246
232,0.029483837305881905
233,0.029580759223259735
234,0.029677604414799
235,0.029774372941237765
236,0.02987106486326609
237,0.02996768024152596
238,0.030064219136611343
239,0.030160681609068256
240,0.03025706771939479
241,0.030353377528041136
242,0.030449611095409616
243,0.03054576848185477
244,0.030641849747683348
245,0.030737854953154325
246,0.030833784158479025
247,0.030929637423821075
248,0.03102541480929649
249,0.031121116374973692
250,0.031216742180873534
251,0.03131229228696938
252,0.0314077667531871
253,0.03150316563940513
254,0.03159848900545455
255,0.03169373691111898
256,0.03178890941613478
257,0.031884006580191006
258,0.031979028462929486
259,0.0320739751239448
260,0.032168846622784374
261,0.032263643018948476
262,0.03235836437189028
263,0.0324530107410159
264,0.032547582185684425
265,0.03264207876520792
266,0.03273650053885156
267,0.03283084756583357
268,0.03292511990532526
269,0.033019317616451174
270,0.033113440758288995
271,0.03320748938986964
272,0.03330146357017735
273,0.03339536335814959
274,0.03348918881267724
275,0.03358293999260453
276,0.033676616956729105
277,0.03377021976380206
278,0.033863748472528016
279,0.03395720314156508
280,0.03405058382952492
281,0.03414389059497288
282,0.03423712349642783
283,0.03433028259236241
284,0.034423367941202924
285,0.034516379601329444
286,0.03460931763107578
287,0.034702182088729654
288,0.03479497303253257
289,0.034887690520679936
